İL PLAKA NO,İL ADI,ADANA,ADIYAMAN,AFYONKARAHİSAR,AĞRI,AMASYA,ANKARA,ANTALYA,ARTVİN,AYDIN,BALIKESİR,BİLECİK,BİNGÖL,BİTLİS,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DENİZLİ,DİYARBAKIR,EDİRNE,ELAZIĞ,ERZİNCAN,ERZURUM,ESKİŞEHİR,GAZİANTEP,GİRESUN,GÜMÜŞHANE,HAKKARİ,HATAY,ISPARTA,MERSİN,İSTANBUL,İZMİR,KARS,KASTAMONU,KAYSERİ,KIRKLARELİ,KIRŞEHİR,KOCAELİ (İZMİT),KONYA,KÜTAHYA,MALATYA,MANİSA,KAHRAMANMARAŞ,MARDİN,MUĞLA,MUŞ,NEVŞEHİR,NİĞDE,ORDU,RİZE,SAKARYA (ADAPAZARI),SAMSUN,SİİRT,SİNOP,SİVAS,TEKİRDAĞ,TOKAT,TRABZON,TUNCELİ,ŞANLIURFA,UŞAK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,ŞIRNAK,BARTIN,ARDAHAN,IĞDIR,YALOVA,KARABÜK,KİLİS,OSMANİYE,DÜZCE
01,ADANA,,335,572,966,604,489,546,1036,882,900,769,634,732,687,665,838,1099,574,578,759,525,1176,494,671,810,687,212,721,779,909,191,615,69,946,899,1014,680,332,1157,374,835,355,672,396,883,192,537,857,743,286,204,710,920,798,722,708,847,423,1078,492,845,628,349,688,895,486,764,264,801,288,473,621,720,779,1040,1069,898,711,247,87,732
02,ADIYAMAN,335,,907,648,635,746,881,757,1217,1235,1048,351,414,940,1000,1117,1388,776,699,1094,207,1432,285,550,531,966,150,713,683,671,317,950,404,1202,1234,735,882,427,1413,562,1091,690,1007,187,1218,163,298,1192,464,508,539,729,859,1054,753,390,893,415,1334,523,784,419,112,1023,577,624,1017,583,656,623,675,303,482,1032,761,751,1156,964,210,248,985
03,AFYONKARAHİSAR,572,907,,1320,597,256,292,1244,346,328,212,1095,1287,420,170,277,527,398,505,223,1097,684,955,949,1139,144,784,872,1016,1481,763,169,565,454,327,1340,504,521,665,427,343,223,100,857,311,764,1109,368,1204,440,459,828,1083,306,677,1280,680,703,586,643,1008,1080,921,116,1422,479,488,365,1038,336,339,1193,1292,515,1353,1431,341,447,819,659,375
04,AĞRI,966,648,1320,,737,1056,1429,397,1642,1572,1360,358,234,1147,1425,1421,1692,985,829,1519,441,1639,496,371,184,1297,754,547,384,432,948,1375,1035,1409,1643,216,991,813,1620,944,1298,1115,1375,592,1627,811,518,1664,245,892,939,591,550,1261,742,331,897,619,1541,677,485,424,617,1432,230,843,1207,967,306,1114,981,369,426,1174,309,143,1363,1105,814,879,1192
05,AMASYA,604,635,597,737,,333,825,694,939,835,623,639,831,410,763,684,955,248,92,816,699,902,546,366,556,574,587,322,433,1138,685,720,636,672,920,757,254,346,883,312,561,511,652,466,904,511,794,961,748,361,439,278,533,524,131,886,258,220,804,114,458,497,719,709,966,200,470,422,455,614,258,799,981,437,778,848,626,368,647,616,455
06,ANKARA,489,746,256,1056,333,,544,980,598,535,315,893,1085,191,422,384,655,131,241,475,904,683,753,685,875,233,659,608,752,1356,680,421,482,453,579,1076,237,319,664,184,342,258,311,655,563,583,984,620,1002,276,347,564,819,305,413,1091,413,439,585,379,744,816,796,368,1220,215,268,225,774,369,75,1004,1167,283,1089,1167,407,215,719,576,236
07,ANTALYA,546,881,292,1429,825,544,,1466,339,509,476,1180,1278,684,122,541,705,668,733,220,1071,913,1040,1058,1248,424,758,1100,1166,1455,737,130,477,718,444,1449,774,618,929,572,607,322,364,942,428,738,1083,311,1289,537,544,1056,1307,570,905,1254,950,810,850,871,1232,1174,895,294,1441,684,752,462,1188,374,567,1167,1266,803,1470,1540,605,735,793,633,639
08,ARTVİN,1036,757,1244,397,694,980,1466,,1586,1465,1253,406,562,1040,1410,1314,1585,895,739,1463,550,1532,544,408,226,1221,863,372,337,771,1018,1367,1105,1302,1567,210,857,850,1513,951,1191,1152,1299,640,1551,864,645,1608,479,929,976,416,161,1154,567,659,722,656,1434,634,236,461,726,1356,569,839,1073,1004,343,1151,905,603,754,1040,117,344,1256,971,923,949,1085
09,AYDIN,882,1217,346,1642,939,598,339,1586,,296,520,1405,1597,719,269,445,452,740,847,126,1407,660,1265,1271,1461,478,1094,1214,1358,1791,1073,288,816,684,126,1662,846,831,677,769,573,533,408,1167,155,1074,1419,99,1514,750,769,1170,1425,605,1019,1590,1022,1023,632,985,1350,1399,1231,273,1732,821,787,675,1380,641,681,1503,1602,857,1683,1753,510,789,1129,969,674
10,BALIKESİR,900,1235,328,1572,835,535,509,1465,296,,246,1415,1607,425,397,151,199,658,777,289,1425,407,1275,1201,1391,302,1112,1093,1256,1809,1091,396,893,390,176,1592,670,841,424,706,279,551,228,1177,141,1092,1437,395,1524,768,787,1049,1304,311,898,1608,846,982,379,922,1229,1332,1249,225,1742,758,493,693,1290,664,618,1521,1620,582,1574,1683,216,559,1147,987,380
