@relation Invistico_Airline

@attribute satisfaction {satisfied,dissatisfied}
@attribute 'Customer Type' {'Loyal Customer','disloyal Customer'}
@attribute Age numeric
@attribute 'Type of Travel' {'Personal Travel','Business travel'}
@attribute Class {Eco,Business,'Eco Plus'}
@attribute 'Flight Distance' numeric
@attribute 'Seat comfort' numeric
@attribute 'Departure/Arrival time convenient' numeric
@attribute 'Food and drink' numeric
@attribute 'Gate location' numeric
@attribute 'Inflight wifi service' numeric
@attribute 'Inflight entertainment' numeric
@attribute 'Online support' numeric
@attribute 'Ease of Online booking' numeric
@attribute 'On-board service' numeric
@attribute 'Leg room service' numeric
@attribute 'Baggage handling' numeric
@attribute 'Checkin service' numeric
@attribute Cleanliness numeric
@attribute 'Online boarding' numeric
@attribute 'Departure Delay in Minutes' numeric
@attribute 'Arrival Delay in Minutes' numeric

@data
satisfied,'Loyal Customer',32,'Business travel',Business,4145,5,5,2,5,4,4,4,4,5,5,5,4,4,4,6,13
satisfied,'Loyal Customer',53,'Business travel',Business,1266,5,5,5,5,3,4,5,4,4,4,4,3,4,4,0,0
satisfied,'Loyal Customer',53,'Business travel',Business,2359,5,5,5,5,5,5,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',40,'Business travel',Business,3669,5,5,5,5,2,5,5,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',33,'Business travel',Business,4054,4,4,4,4,4,4,4,4,3,3,4,4,4,4,7,1
dissatisfied,'Loyal Customer',58,'Business travel',Business,1278,4,2,2,2,3,3,2,4,4,4,4,1,4,4,42,47
satisfied,'Loyal Customer',56,'Business travel',Business,1237,3,3,5,3,5,4,4,4,4,4,4,5,4,4,19,17
satisfied,'Loyal Customer',54,'Business travel',Business,1980,4,4,4,4,4,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',29,'Business travel',Business,2741,3,3,3,3,4,4,4,4,5,1,4,3,1,4,19,8
satisfied,'Loyal Customer',29,'Business travel',Business,2370,3,3,2,3,4,4,4,4,4,3,3,3,1,4,0,0
satisfied,'Loyal Customer',62,'Business travel',Business,1249,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',56,'Business travel',Business,1249,4,4,4,4,4,4,4,4,4,4,4,3,4,3,10,15
satisfied,'Loyal Customer',56,'Business travel',Business,3052,3,3,2,3,5,5,5,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',54,'Business travel',Business,2908,2,2,2,2,3,4,4,4,4,4,4,3,4,4,36,12
satisfied,'Loyal Customer',52,'Business travel',Business,1248,2,2,2,2,4,5,4,4,4,4,4,5,4,4,0,5
satisfied,'Loyal Customer',49,'Business travel',Business,3337,4,4,2,4,5,4,5,4,4,4,4,5,4,5,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,1275,1,5,1,1,2,5,5,4,4,4,4,4,4,4,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,3354,5,5,5,5,5,5,4,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,1655,4,4,4,4,2,5,4,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',45,'Business travel',Business,1251,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,0
satisfied,'Loyal Customer',42,'Business travel',Business,3205,2,2,2,2,5,4,4,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',35,'Business travel',Business,1263,1,1,1,1,4,5,5,4,4,4,4,3,4,3,2,16
satisfied,'Loyal Customer',22,'Business travel',Business,2265,1,1,1,1,4,4,4,4,4,3,4,1,4,4,0,0
satisfied,'Loyal Customer',15,'Business travel',Business,3087,5,5,1,5,4,4,4,4,5,3,4,4,5,4,0,16
satisfied,'Loyal Customer',58,'Business travel',Business,1262,1,1,1,1,2,5,5,4,4,4,4,5,4,3,6,0
satisfied,'Loyal Customer',40,'Business travel',Business,1253,4,4,4,4,4,4,4,4,4,4,4,4,4,3,34,15
satisfied,'Loyal Customer',22,'Business travel',Business,3149,1,1,1,1,4,4,4,4,5,5,3,5,3,4,2,4
satisfied,'Loyal Customer',56,'Business travel',Business,3568,3,3,3,3,5,4,5,4,4,4,4,4,4,4,0,9
satisfied,'Loyal Customer',41,'Business travel',Business,1219,3,3,3,3,4,4,4,4,4,4,4,4,4,3,5,0
satisfied,'Loyal Customer',22,'Business travel',Business,4530,2,2,2,2,4,4,4,4,3,2,4,4,5,4,10,33
satisfied,'Loyal Customer',20,'Business travel',Business,2944,5,5,5,5,4,4,4,4,3,2,4,3,5,4,1,14
satisfied,'Loyal Customer',57,'Business travel',Business,3162,4,5,4,4,2,4,5,4,4,4,4,4,4,4,1,0
satisfied,'Loyal Customer',30,'Business travel',Business,2372,3,3,2,3,4,4,4,4,5,4,2,1,4,4,0,2
satisfied,'Loyal Customer',28,'Business travel',Business,3578,2,2,5,2,4,4,4,4,3,3,4,4,5,4,0,0
satisfied,'Loyal Customer',28,'Business travel',Business,2368,4,4,4,4,4,4,4,4,5,4,5,3,5,4,0,0
satisfied,'Loyal Customer',25,'Business travel',Business,2647,3,3,3,3,4,4,4,4,5,5,4,4,4,4,0,0
satisfied,'Loyal Customer',23,'Business travel',Business,2876,2,2,2,2,4,4,4,4,2,3,5,5,1,4,13,0
satisfied,'Loyal Customer',39,'Business travel',Business,2968,1,1,1,1,5,1,2,4,4,4,4,3,4,5,17,0
satisfied,'Loyal Customer',60,'Business travel',Business,3153,4,4,4,4,2,4,4,4,4,4,4,5,4,5,46,33
satisfied,'Loyal Customer',53,'Business travel',Business,2390,3,2,3,3,2,4,5,4,4,4,4,3,4,3,15,18
satisfied,'Loyal Customer',26,'Business travel',Business,2553,5,5,5,5,4,4,4,4,5,3,5,3,5,4,0,0
satisfied,'Loyal Customer',42,'Business travel',Business,2095,1,1,1,1,3,5,4,4,4,4,4,4,4,3,13,0
satisfied,'Loyal Customer',52,'Business travel',Business,1238,1,1,4,1,5,4,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',14,'Business travel',Business,2417,2,2,2,2,4,4,4,4,4,2,5,4,5,4,5,1
satisfied,'Loyal Customer',60,'Business travel',Business,3763,3,3,3,3,5,5,4,4,4,4,4,3,4,4,12,1
satisfied,'Loyal Customer',50,'Business travel',Business,3174,5,5,5,5,5,5,4,4,4,4,4,3,4,3,0,0
satisfied,'Loyal Customer',50,'Business travel',Business,1237,5,5,5,5,5,4,5,4,4,4,4,4,4,3,20,19
satisfied,'Loyal Customer',50,'Business travel',Business,2648,5,5,5,5,2,4,4,4,4,4,4,4,4,3,0,0
satisfied,'Loyal Customer',49,'Business travel',Business,2438,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,37
satisfied,'Loyal Customer',39,'Business travel',Business,2626,4,4,4,4,3,2,1,4,4,4,4,4,4,1,0,5
satisfied,'Loyal Customer',36,'Business travel',Business,2818,1,1,1,1,5,5,5,4,4,4,4,5,4,5,32,15
satisfied,'Loyal Customer',34,'Business travel',Business,1818,3,3,3,3,4,4,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',33,'Business travel',Business,1212,1,1,5,1,5,4,5,4,4,4,4,5,4,4,2,25
satisfied,'Loyal Customer',30,'Business travel',Business,4518,1,5,1,1,4,4,4,4,3,4,5,3,5,4,21,10
satisfied,'Loyal Customer',29,'Business travel',Business,2407,4,4,5,4,4,4,4,4,5,2,4,5,4,4,15,0
satisfied,'Loyal Customer',28,'Business travel',Business,3005,5,5,3,5,4,4,4,4,5,5,5,3,5,4,0,0
satisfied,'Loyal Customer',57,'Business travel',Business,1221,1,1,1,1,5,5,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',53,'Business travel',Business,1224,5,5,5,5,4,4,4,4,4,4,4,5,4,4,22,21
satisfied,'Loyal Customer',44,'Business travel',Business,3793,5,5,5,5,5,4,4,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',44,'Business travel',Business,1235,2,2,2,2,3,5,5,4,4,4,4,4,4,3,1,0
satisfied,'Loyal Customer',42,'Business travel',Business,3579,3,3,3,3,5,5,5,4,4,4,4,3,4,5,1,0
satisfied,'Loyal Customer',39,'Business travel',Business,3912,4,4,4,4,2,4,4,4,4,4,4,3,4,5,5,0
satisfied,'Loyal Customer',39,'Business travel',Business,1670,1,1,1,1,3,4,5,4,4,4,4,3,4,5,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,3158,3,3,3,3,5,2,1,4,4,4,4,2,4,2,1,0
satisfied,'Loyal Customer',29,'Business travel',Business,2715,4,4,4,4,4,4,4,4,4,2,2,2,2,4,3,0
satisfied,'Loyal Customer',44,'Business travel',Business,3673,5,5,5,5,5,5,5,4,4,4,4,3,4,5,9,21
satisfied,'Loyal Customer',58,'Business travel',Business,1216,2,2,1,2,2,5,4,4,4,4,4,3,4,3,0,3
satisfied,'Loyal Customer',54,'Business travel',Business,2503,2,2,2,2,4,4,5,4,4,4,4,5,4,3,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,3187,1,1,1,1,5,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',39,'Business travel',Business,3354,2,2,2,2,3,5,4,4,4,4,4,5,4,3,66,71
satisfied,'Loyal Customer',30,'Business travel',Business,4499,2,2,2,2,4,4,4,4,4,5,4,3,5,4,0,0
satisfied,'Loyal Customer',26,'Business travel',Business,3651,4,4,4,4,4,4,4,4,4,5,3,1,5,4,0,0
satisfied,'Loyal Customer',37,'Business travel',Business,3981,5,2,5,5,5,5,5,4,4,4,4,3,4,5,28,24
satisfied,'Loyal Customer',36,'Business travel',Business,1226,1,1,1,1,4,3,3,4,4,4,4,2,4,4,0,0
satisfied,'Loyal Customer',17,'Business travel',Business,3678,3,3,3,3,4,4,4,4,3,1,1,4,5,4,6,0
satisfied,'Loyal Customer',59,'Business travel',Business,1189,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0
satisfied,'Loyal Customer',47,'Business travel',Business,2683,3,3,3,3,3,2,3,4,4,4,4,3,4,4,6,0
satisfied,'Loyal Customer',42,'Business travel',Business,1204,3,3,3,3,3,3,5,4,4,4,4,1,4,4,0,0
satisfied,'Loyal Customer',59,'Business travel',Business,3863,5,5,5,5,2,5,5,4,4,4,4,4,4,3,55,51
satisfied,'Loyal Customer',27,'Business travel',Business,3673,3,3,3,3,4,4,4,4,4,2,4,3,4,4,0,0
satisfied,'Loyal Customer',60,'Business travel',Business,2387,3,2,3,3,3,5,5,4,4,4,4,5,4,4,0,0
